target,n_estimators,max_depth,learning_rate,average_mse,average_r2
Cu,100,1,0.01,277.5064645574399,0.4571026989049322
Cu,100,1,0.001,456.34861093221497,0.06351760194340379
Cu,100,2,0.1,158.48797275291304,0.706736344260113
Cu,100,2,0.01,234.64758256796395,0.5517723851425866
Cu,100,2,0.001,447.42983124984465,0.0838056210810707
Cu,100,3,0.1,168.0086209956592,0.7014987003628549
Cu,100,3,0.01,235.48350601592216,0.565026970767472
Cu,100,3,0.001,450.2024846734939,0.08410742553584256
Cu,100,5,0.1,165.490352088895,0.7010553446497245
Cu,100,5,0.01,229.10384185539692,0.5821525215918626
Cu,100,5,0.001,447.30817497920236,0.0922660373075064
Cu,500,1,0.1,161.7155927821743,0.707712661853287
Cu,500,1,0.01,176.16179971862803,0.6818811114243543
Cu,500,1,0.001,344.92774090826344,0.3083134126476898
Cu,500,2,0.1,171.7649458571818,0.665545813226754
Cu,500,2,0.01,162.64942841665467,0.7078515380708945
Cu,500,2,0.001,316.35150494782596,0.37493824245305596
