target,n_estimators,max_depth,learning_rate,average_mse,average_r2
LBL_aDLminpA_fut_001,10,1,0.01,30083.813671875,0.1005971074104309
LBL_aDLminpA_fut_001,10,1,0.001,33574.2375,-0.004177379608154297
LBL_aDLminpA_fut_001,10,2,0.1,11349.11328125,0.6562299728393555
LBL_aDLminpA_fut_001,10,2,0.01,29636.667578125,0.11340162754058838
LBL_aDLminpA_fut_001,10,2,0.001,33531.483984375,-0.00294877290725708
LBL_aDLminpA_fut_001,10,3,0.1,10966.5048828125,0.6671402812004089
LBL_aDLminpA_fut_001,10,3,0.01,29483.68671875,0.11792443990707398
LBL_aDLminpA_fut_001,10,3,0.001,33514.081640625,-0.002430415153503418
LBL_aDLminpA_fut_001,10,5,0.1,11119.9544921875,0.6617913842201233
LBL_aDLminpA_fut_001,10,5,0.01,29413.00625,0.11949533224105835
LBL_aDLminpA_fut_001,10,5,0.001,33492.897265625,-0.0018296360969543457
LBL_aDLminpA_fut_001,50,1,0.1,6493.04462890625,0.7965029358863831
LBL_aDLminpA_fut_001,50,1,0.01,20159.7259765625,0.39666268825531004
LBL_aDLminpA_fut_001,50,1,0.001,31952.9546875,0.04451664686203003
LBL_aDLminpA_fut_001,50,2,0.1,6244.70126953125,0.8034709572792054
LBL_aDLminpA_fut_001,50,2,0.01,18251.2345703125,0.4521260023117065
LBL_aDLminpA_fut_001,50,2,0.001,31733.076953125,0.05077000856399536
LBL_aDLminpA_fut_001,50,3,0.1,6189.991455078125,0.8062500119209289
LBL_aDLminpA_fut_001,50,3,0.01,17816.5203125,0.46455858945846557
LBL_aDLminpA_fut_001,50,3,0.001,31658.96640625,0.052954578399658205
LBL_aDLminpA_fut_001,50,5,0.1,6729.56298828125,0.7883901357650757
LBL_aDLminpA_fut_001,50,5,0.01,18021.3634765625,0.4586393594741821
LBL_aDLminpA_fut_001,50,5,0.001,31583.914453125,0.0549548864364624
LBL_aDLminpA_fut_001,100,1,0.1,6298.065625,0.802021598815918
LBL_aDLminpA_fut_001,100,1,0.01,14069.7466796875,0.5770797610282898
LBL_aDLminpA_fut_001,100,1,0.001,30093.943359375,0.10032508373260499
LBL_aDLminpA_fut_001,100,2,0.1,6543.076025390625,0.7942924261093139
LBL_aDLminpA_fut_001,100,2,0.01,11565.4802734375,0.6498848795890808
LBL_aDLminpA_fut_001,100,2,0.001,29642.7015625,0.1132851004600525
LBL_aDLminpA_fut_001,100,3,0.1,6283.198876953125,0.803284478187561
LBL_aDLminpA_fut_001,100,3,0.01,11351.929296875,0.6558020710945129
LBL_aDLminpA_fut_001,100,3,0.001,29494.5375,0.11761058568954467
LBL_aDLminpA_fut_001,100,5,0.1,6733.874853515625,0.7881921648979187
LBL_aDLminpA_fut_001,100,5,0.01,11627.3255859375,0.647697913646698
LBL_aDLminpA_fut_001,100,5,0.001,29439.259765625,0.11869997978210449
LBL_aDLminpA_fut_001,500,1,0.1,6638.006005859375,0.7920598387718201
LBL_aDLminpA_fut_001,500,1,0.01,6413.31845703125,0.7992576003074646
LBL_aDLminpA_fut_001,500,1,0.001,20194.712890625,0.3956373333930969
LBL_aDLminpA_fut_001,500,2,0.1,6896.50078125,0.7836926698684692
LBL_aDLminpA_fut_001,500,2,0.01,6253.738623046875,0.8032713294029236
LBL_aDLminpA_fut_001,500,2,0.001,18302.6798828125,0.4506243824958801
LBL_aDLminpA_fut_001,500,3,0.1,6374.366357421875,0.8003408312797546
LBL_aDLminpA_fut_001,500,3,0.01,6293.6453125,0.8028623104095459
LBL_aDLminpA_fut_001,500,3,0.001,17870.870703125,0.46301653385162356
LBL_aDLminpA_fut_001,500,5,0.1,6740.091455078125,0.7879861354827881
