n_estimators,max_depth,learning_rate,multi_task_strategy,mse_0,mse_1,mse_2,mse_3,mse_4,mse_5,r2_0,r2_1,r2_2,r2_3,r2_4,r2_5
100,1,0.01,multi_output_tree,5977.575924945032,24718.702503913846,14039.209730663186,11844.857042454156,7254.064544164331,13383.531980614829,0.3828872808257012,0.6094498078319017,0.5773137238567398,0.5610044366706045,0.4743294873623068,0.5468000712845112
100,1,0.001,multi_output_tree,16701.931063698838,55820.595161618665,31512.441575645644,27023.662611696764,17231.968038408475,29485.957956274855,-0.8339364899141664,0.10938328146661036,0.058646438490525865,0.0008385844513709939,-0.272698544302181,0.0022564888584887034
100,2,0.1,multi_output_tree,2077.155271315262,8594.79127376215,5694.924963555873,2619.270219357722,2532.9181919241473,2753.02659322066,0.7712250422313556,0.8605085627194752,0.8214571519547436,0.8992429629046785,0.8021013850253631,0.9037269275038373
100,2,0.01,multi_output_tree,5465.7315365160985,20453.346302467668,11638.988030302567,8279.738959271808,6538.753042645846,9175.908015641284,0.42099710696245907,0.6766615709612701,0.6491067403044415,0.6936244103913844,0.5154703149348951,0.6905425276769959
100,2,0.001,multi_output_tree,16553.813100234802,54908.831659400756,31010.148085162888,26341.153538842766,16999.11277122987,28712.37962752657,-0.819208508660769,0.12308976073948807,0.07339978455314829,0.02643677853900228,-0.2560491074579848,0.028993515237220248
100,3,0.1,multi_output_tree,1725.3801796683256,9291.188677102444,5625.7832051720425,2073.568830048426,2207.1127746086504,2273.3771922691994,0.8090862973492658,0.8493438584632681,0.8233821492672673,0.9192517725503964,0.8312418533999919,0.9195643099115266
100,3,0.01,multi_output_tree,5339.869265545456,19625.2445568847,11287.249624313665,7417.854255913773,6261.540842837584,8090.792818691911,0.43228085352014756,0.6889127160434809,0.659558648613901,0.7258836947927317,0.5375958380339999,0.7275671350313375
100,3,0.001,multi_output_tree,16553.073767254573,54700.94874099291,31034.59629160643,26152.04930607301,17028.096382205324,28482.29380160636,-0.8209719332206322,0.1256388255676667,0.07257063072763495,0.03280511782379862,-0.259304286452137,0.03600222572393519
100,5,0.1,multi_output_tree,1785.170048242273,9289.904239384292,5781.390148715089,1989.054255795037,2295.9461169507817,2198.981523251641,0.8011038474147334,0.8453077290995701,0.8191834996529191,0.9210204248705345,0.8247748984124638,0.9206209370482966
100,5,0.01,multi_output_tree,5201.416514779185,19018.602176299355,11666.625740598089,7658.5560922509485,5964.36732209768,8435.521100437873,0.439630691271718,0.696766886892623,0.6479928969246267,0.7164526694779385,0.5596251534004019,0.7157126547709447
100,5,0.001,multi_output_tree,16583.59809914742,54475.13277961743,30965.30418874824,26144.03580935478,17010.449683326395,28476.836852657572,-0.8245260046346597,0.12986449584770687,0.07467329923200253,0.0333030229635334,-0.2576241676914185,0.036352931508328856
500,1,0.1,multi_output_tree,2332.676521886997,9209.996246722038,6043.128602184134,3645.5815871700715,2907.014688831644,3948.883705232445,0.7364844408347447,0.8466429815552488,0.8100193858465637,0.8610200866237143,0.7716772378913693,0.863252544851048
500,1,0.01,multi_output_tree,3080.87141174595,11715.031031754796,7030.055314742798,4398.732779279674,4121.111849738352,5114.255925182745,0.6775888803782233,0.808634485909691,0.7809070453304977,0.8341086544427465,0.6840483771081576,0.8241716708616948
