target,n_estimators,max_depth,learning_rate,average_mse,average_r2
Co,1000,1,0.001,7.029746027584641,0.4349537226467276
Co,1000,2,0.1,4.225072287561142,0.6604656851823492
Co,1000,2,0.01,3.775971941676887,0.6969261324229948
Co,1000,2,0.001,6.126244554124119,0.5080681040102848
Co,1000,3,0.1,3.716867833366191,0.7026660983000045
Co,1000,3,0.01,3.687787268091436,0.7045029651381716
Co,1000,3,0.001,5.722080038200945,0.5404527421613197
Co,1000,5,0.1,3.483642069631989,0.7211588267362659
Co,1000,5,0.01,3.53085870215482,0.7171361021003373
Co,1000,5,0.001,4.928881262647691,0.6035149411316417
Co,3000,1,0.1,4.79687047280367,0.6154948898106325
Co,3000,1,0.01,4.132608778356673,0.6688069499419604
Co,3000,1,0.001,5.14118033361734,0.5867432244986508
Co,3000,2,0.1,4.473308990350972,0.6409888005059223
Co,3000,2,0.01,3.7952107289959507,0.6953248285732212
Co,3000,2,0.001,4.344120719207924,0.6507290801316291
Co,3000,3,0.1,3.728125486663213,0.7017731612586194
Co,3000,3,0.01,3.738575971604169,0.7007781101628989
Co,3000,3,0.001,3.9998221408711343,0.6790238587200805
Co,3000,5,0.1,3.4836420434910993,0.7211588286222361
Co,3000,5,0.01,3.555678616343665,0.7150147939224819
Co,3000,5,0.001,3.5301330972245912,0.7165378503027487
Cu,10,1,0.1,271.94872221406865,0.46768500775531485
Cu,10,1,0.01,456.15663729045764,0.06396482488537587
Cu,10,1,0.001,493.8407954668554,-0.018661703558731268
Cu,10,2,0.1,230.5069053491825,0.5604208010919425
Cu,10,2,0.01,447.24426036751004,0.08423353493494326
Cu,10,2,0.001,492.8591547954858,-0.016430817533758902
Cu,10,3,0.1,233.75427591095004,0.5659653537390922
Cu,10,3,0.01,450.0494896594005,0.08450237664923284
Cu,10,3,0.001,493.2171260132748,-0.01651524706983587
Cu,10,5,0.1,226.16929520711693,0.5875966694126219
Cu,10,5,0.01,447.156801896459,0.09263863441937656
Cu,10,5,0.001,492.9102158763032,-0.015644942550744646
Cu,50,1,0.1,174.22193812819341,0.6856702124121504
Cu,50,1,0.01,344.45037017796955,0.30938378832402036
Cu,50,1,0.001,476.38349464167976,0.019617517062630818
Cu,50,2,0.1,160.5584946750047,0.7103237715186405
Cu,50,2,0.01,315.8056497310071,0.37599426945965214
Cu,50,2,0.001,471.6428420578134,0.030361666533246078
Cu,50,3,0.1,167.9582094168633,0.7032866659214083
Cu,50,3,0.01,319.86096402926216,0.3807384103930644
Cu,50,3,0.001,473.21352426886233,0.030367554326404433
Cu,50,5,0.1,163.3707375629733,0.7076285044226948
Cu,50,5,0.01,314.6125980282804,0.396549580263752
Cu,50,5,0.001,471.6665398230317,0.03467753874081845
Cu,100,1,0.1,166.09090069946677,0.7034357109651639
Cu,100,1,0.01,277.50646838820705,0.45710268899915396
Cu,100,1,0.001,456.3486082695787,0.06351761152482469
Cu,100,2,0.1,158.48797198243795,0.7067363472302949
Cu,100,2,0.01,234.64758330385877,0.5517723833823013
