n_estimators,max_depth,learning_rate,multi_task_strategy,mse_0,mse_1,mse_2,r2_0,r2_1,r2_2
100,2,0.001,multi_output_tree,0.9550606182587126,0.9087365086062118,0.917410066369162,0.037364120000522694,0.07274937149943357,0.0737513080459817
100,2,0.001,one_output_per_tree,0.935476757197214,0.8963682216008164,0.8980107425691907,0.0570047221552636,0.08532304281853371,0.08828621073878595
100,3,0.1,multi_output_tree,0.45263412145196796,0.29917601373341685,0.333978224293679,0.5383874377766809,0.6943044686415488,0.7034062193601892
100,3,0.1,one_output_per_tree,0.4808380850148343,0.2832632889315215,0.3391110947098369,0.5124725805557764,0.7110603194846966,0.7003595405525547
100,3,0.01,multi_output_tree,0.6290989116104848,0.5115642337259114,0.49890373149052863,0.3675574288786478,0.4772403403066228,0.539479099877787
100,3,0.01,one_output_per_tree,0.5801673598248046,0.4472192783911996,0.4717520991409801,0.4218799654080187,0.5427053980171467,0.5671169893187051
100,3,0.001,multi_output_tree,0.9340646272184042,0.9062566802558573,0.908701916075023,0.05876603785325842,0.07521375428299874,0.08002855434507945
100,3,0.001,one_output_per_tree,0.9194563026356836,0.8895417987582863,0.9032242735192286,0.07333136984417396,0.09230553039339913,0.08879670723345186
100,5,0.1,multi_output_tree,0.49033026031864013,0.29374489776330903,0.3332403704947379,0.49932328448327007,0.7009532072787021,0.7126180461531456
100,5,0.1,one_output_per_tree,0.4653075500651255,0.2708076155583584,0.328107066090077,0.5302892665250214,0.7231644110182256,0.7063795715488003
100,5,0.01,multi_output_tree,0.5898698516471376,0.4665858205762894,0.5015500708749521,0.4096642124269601,0.5242274359404172,0.5491625432266264
100,5,0.01,one_output_per_tree,0.5488999844960347,0.3859789684292656,0.45908980613919487,0.4550184058773546,0.6046869715293065,0.5845376120728868
100,5,0.001,multi_output_tree,0.9249368152932884,0.9004578199606893,0.9090786706818221,0.06835784284987971,0.0813019073550106,0.08640272416686194
100,5,0.001,one_output_per_tree,0.9090633135354336,0.8765080077907454,0.8975227463229263,0.08435356741674996,0.10543006304410815,0.0968795826637802
100,10,0.1,multi_output_tree,0.528572587032804,0.3433928734188846,0.3985004885556798,0.4512072070709192,0.6531619868682437,0.6475802089639149
100,10,0.1,one_output_per_tree,0.5481864295811283,0.2774221918337028,0.38836864141274885,0.4365644538186232,0.7162822465955441,0.6504325132043459
100,10,0.01,multi_output_tree,0.6050482336119813,0.46327281704691464,0.5213495384717387,0.3928372271312942,0.5264550218405251,0.5353355255564679
100,10,0.01,one_output_per_tree,0.575949540545136,0.3840846611245873,0.4767678719814031,0.4278084832159184,0.6060365355075158,0.5669222257763227
100,10,0.001,multi_output_tree,0.9254108964012546,0.894701978060479,0.9071748325377534,0.06738961426495718,0.08705593981689919,0.08814912509583155
100,10,0.001,one_output_per_tree,0.9068966905236463,0.8725219585861075,0.8995564659118781,0.08738847384975552,0.10949101917500159,0.09454638240637303
500,1,0.1,multi_output_tree,0.4688266910745389,0.3198693841197283,0.32378060157680116,0.522531751926056,0.6740010664880909,0.7122057742520893
500,1,0.1,one_output_per_tree,0.47197254555728974,0.3266266983882783,0.3267769314369343,0.5191123656657434,0.6668730552212727,0.7074338906096543
500,1,0.01,multi_output_tree,0.5850350913462272,0.4511387297251668,0.42172490481654795,0.40956316769753454,0.5390851814423376,0.6124830230990443
500,1,0.01,one_output_per_tree,0.515565488747763,0.3620667324948594,0.35511851569893804,0.4841512477561098,0.629626134258455,0.681965175237622
500,1,0.001,multi_output_tree,0.851141567207452,0.7806882777900241,0.8731947324979876,0.1433650036999888,0.20443391679081765,0.12578495354725205
500,1,0.001,one_output_per_tree,0.8037038949493628,0.6836179852420642,0.6928629223889955,0.1931087445062822,0.3015533304630135,0.31107298098531677
500,2,0.1,multi_output_tree,0.4752442122486752,0.30488062639492824,0.3410266489053101,0.5058656251204516,0.6887747229547825,0.6946265376441726
500,2,0.1,one_output_per_tree,0.5306377631484112,0.31520493276021744,0.3390917419736334,0.4516834555347293,0.6777197483424242,0.673374825278028
500,2,0.01,multi_output_tree,0.46218009444233443,0.3558441922447062,0.36046926022972325,0.5283797757729298,0.6366468958260141,0.6828739055388251
500,2,0.01,one_output_per_tree,0.486234726430072,0.3160651702964955,0.32778062458012414,0.5128046050735129,0.676755199650861,0.7082484695669317
500,2,0.001,multi_output_tree,0.8033468552744345,0.6758588801772534,0.6803478810347058,0.19404094345424164,0.3099191747651996,0.3405158180753849
500,2,0.001,one_output_per_tree,0.755537609832525,0.6341844997917429,0.635444969586826,0.24193313154127968,0.3521006409756313,0.3773908842985357
500,3,0.1,multi_output_tree,0.4765274461171626,0.29733799156137886,0.3443044050417748,0.5025462174038509,0.6963771424508413,0.6946063968367552
500,3,0.1,one_output_per_tree,0.4992270188491811,0.2936891371364606,0.3413179114211654,0.48592277155074964,0.7003795917555479,0.6965299718641108
500,3,0.01,multi_output_tree,0.45828386401134374,0.3274457572291424,0.339778351716988,0.5327803982795871,0.6654613197629294,0.7044420143392253
500,3,0.01,one_output_per_tree,0.4650884392535789,0.2960926042846086,0.3390898010911644,0.5323057937718952,0.6976669200623025,0.7056505886818804
500,3,0.001,multi_output_tree,0.7520590096289688,0.6559141271618253,0.6609322755794397,0.2445986083216606,0.3299126119611171,0.36298835388212847
500,3,0.001,one_output_per_tree,0.7049505313812783,0.6028871080810413,0.6421965735005564,0.2937268481944974,0.38385942897762393,0.3830547708016132
500,5,0.1,multi_output_tree,0.49178584349022036,0.2990337343390605,0.33472314814612697,0.49387399648660824,0.6958260858652002,0.711362417927776
500,5,0.1,one_output_per_tree,0.467045483603699,0.2724270491994557,0.32989766834734485,0.5272042537024099,0.7214272068865616,0.7038254736002323
500,5,0.01,multi_output_tree,0.4831629524673492,0.29478587943071555,0.3334900490084318,0.5105929762969759,0.7004426419294691,0.7148705727120744
500,5,0.01,one_output_per_tree,0.4572292204252868,0.27688187701665135,0.32149965546326364,0.540232500147231,0.7172865090720917,0.7203310685876607
500,5,0.001,multi_output_tree,0.7114166873546922,0.6292113541810898,0.6619090600130728,0.2870561412991278,0.35806436499918426,0.37362507422372576
500,5,0.001,one_output_per_tree,0.6827238044378123,0.5568844450817055,0.6319667272952487,0.3179618171771656,0.4306629498312421,0.3986472631438418
500,10,0.1,multi_output_tree,0.5281280066610252,0.3431769203528579,0.39867450918559644,0.4515009336506138,0.6533932040703433,0.6474170368690595
500,10,0.1,one_output_per_tree,0.548279001552393,0.27751482797422833,0.38849008375200683,0.43639711228153216,0.7161938341801328,0.65024784638566
500,10,0.01,multi_output_tree,0.5303475934921396,0.34708974602387455,0.38687466325018444,0.45190087106567545,0.6484146653075941,0.6587132231535927
500,10,0.01,one_output_per_tree,0.5565150985275402,0.2745842107830017,0.3675385096085712,0.43081352971753273,0.7192952790420588,0.674652234203954
500,10,0.001,multi_output_tree,0.7227142142678098,0.6184881586663767,0.6714674475071284,0.2753552044304206,0.3688296682434206,0.3659549405521263
